run_id,scenario,status,start_time,end_time,duration_seconds,requested_instances,deployment_id,recovery_id,healthy_count,unhealthy_count,notes
run20260411-184128-58,base_deploy_1,success,2026-04-11T18:41:28-04:00,2026-04-11T18:42:10-04:00,42,1,dep-20260411224128-f7be6fb8,,0,1,base deployment to 1 instance
run20260411-184210-58,scale_up_5,success,2026-04-11T18:42:11-04:00,2026-04-11T18:42:48-04:00,37,5,dep-20260411224211-0f7cac1b,,0,5,scaled up to 5
run20260411-184248-58,scale_down_1,success,2026-04-11T18:42:48-04:00,2026-04-11T18:43:24-04:00,36,1,dep-20260411224248-bffa0673,,0,1,scaled down to 1
run20260411-184324-58,kill_and_recover_app3,failed,2026-04-11T18:43:24-04:00,2026-04-11T18:44:04-04:00,40,5,dep-20260411224324-23f39e79,rec-20260411224403-5735f6b8,0,5,killed app3 and recovered
run20260411-184404-59,base_deploy_1,success,2026-04-11T18:44:04-04:00,2026-04-11T18:44:44-04:00,40,1,dep-20260411224404-7cdba5d6,,0,1,base deployment to 1 instance
run20260411-184444-59,scale_up_5,success,2026-04-11T18:44:44-04:00,2026-04-11T18:45:23-04:00,39,5,dep-20260411224444-4b301cf0,,0,5,scaled up to 5
run20260411-184523-59,scale_down_1,success,2026-04-11T18:45:24-04:00,2026-04-11T18:46:00-04:00,36,1,dep-20260411224524-67de76dc,,0,1,scaled down to 1
run20260411-184600-59,kill_and_recover_app3,failed,2026-04-11T18:46:00-04:00,2026-04-11T18:46:40-04:00,40,5,dep-20260411224600-3a72490c,rec-20260411224639-3fee9d32,0,5,killed app3 and recovered
run20260411-184640-60,base_deploy_1,success,2026-04-11T18:46:40-04:00,2026-04-11T18:47:19-04:00,39,1,dep-20260411224640-b27b3716,,0,1,base deployment to 1 instance
run20260411-184719-60,scale_up_5,success,2026-04-11T18:47:19-04:00,2026-04-11T18:47:57-04:00,38,5,dep-20260411224719-2974d357,,0,5,scaled up to 5
run20260411-184757-60,scale_down_1,success,2026-04-11T18:47:57-04:00,2026-04-11T18:48:36-04:00,39,1,dep-20260411224757-b7ac23cf,,0,1,scaled down to 1
run20260411-184836-60,kill_and_recover_app3,failed,2026-04-11T18:48:36-04:00,2026-04-11T18:49:16-04:00,40,5,dep-20260411224836-367331fc,rec-20260411224915-c5f4d510,0,5,killed app3 and recovered
run20260411-184916-61,base_deploy_1,success,2026-04-11T18:49:16-04:00,2026-04-11T18:49:58-04:00,42,1,dep-20260411224916-24efa603,,0,1,base deployment to 1 instance
run20260411-184958-61,scale_up_5,success,2026-04-11T18:49:58-04:00,2026-04-11T18:50:36-04:00,38,5,dep-20260411224958-67924807,,0,5,scaled up to 5
run20260411-185036-61,scale_down_1,success,2026-04-11T18:50:36-04:00,2026-04-11T18:51:13-04:00,37,1,dep-20260411225036-387abe47,,0,1,scaled down to 1
run20260411-185113-61,kill_and_recover_app3,failed,2026-04-11T18:51:13-04:00,2026-04-11T18:51:54-04:00,41,5,dep-20260411225113-50089f8f,rec-20260411225152-92dc8469,0,5,killed app3 and recovered
run20260411-185154-62,base_deploy_1,success,2026-04-11T18:51:54-04:00,2026-04-11T18:52:33-04:00,39,1,dep-20260411225154-24ff0f0c,,0,1,base deployment to 1 instance
run20260411-185233-62,scale_up_5,success,2026-04-11T18:52:33-04:00,2026-04-11T18:53:11-04:00,38,5,dep-20260411225233-e7b87b95,,0,5,scaled up to 5
run20260411-185311-62,scale_down_1,success,2026-04-11T18:53:11-04:00,2026-04-11T18:53:47-04:00,36,1,dep-20260411225311-94cba05e,,0,1,scaled down to 1
run20260411-185347-62,kill_and_recover_app3,failed,2026-04-11T18:53:47-04:00,2026-04-11T18:54:28-04:00,41,5,dep-20260411225347-265f3532,rec-20260411225427-4ff2fb7a,0,5,killed app3 and recovered
run20260411-185428-63,base_deploy_1,success,2026-04-11T18:54:28-04:00,2026-04-11T18:55:08-04:00,40,1,dep-20260411225428-1398288d,,0,1,base deployment to 1 instance
run20260411-185508-63,scale_up_5,success,2026-04-11T18:55:08-04:00,2026-04-11T18:55:46-04:00,38,5,dep-20260411225508-828795c9,,0,5,scaled up to 5
run20260411-185546-63,scale_down_1,success,2026-04-11T18:55:46-04:00,2026-04-11T18:56:23-04:00,37,1,dep-20260411225546-87ba12ca,,0,1,scaled down to 1
run20260411-185623-63,kill_and_recover_app3,failed,2026-04-11T18:56:24-04:00,2026-04-11T18:57:10-04:00,46,5,dep-20260411225624-e6ba72cc,rec-20260411225708-54e3f579,0,5,killed app3 and recovered
run20260411-185710-64,base_deploy_1,success,2026-04-11T18:57:10-04:00,2026-04-11T18:57:50-04:00,40,1,dep-20260411225710-fc356fe8,,0,1,base deployment to 1 instance
run20260411-185750-64,scale_up_5,success,2026-04-11T18:57:50-04:00,2026-04-11T18:58:27-04:00,37,5,dep-20260411225750-efe0cc2c,,0,5,scaled up to 5
run20260411-185827-64,scale_down_1,success,2026-04-11T18:58:27-04:00,2026-04-11T18:59:06-04:00,39,1,dep-20260411225827-9f6d2077,,0,1,scaled down to 1
run20260411-185906-64,kill_and_recover_app3,failed,2026-04-11T18:59:06-04:00,2026-04-11T18:59:46-04:00,40,5,dep-20260411225906-1a7178d0,rec-20260411225944-7c62cd92,0,5,killed app3 and recovered
run20260411-185946-65,base_deploy_1,success,2026-04-11T18:59:46-04:00,2026-04-11T19:00:35-04:00,49,1,dep-20260411225946-dfe3ad20,,0,1,base deployment to 1 instance
run20260411-190035-65,scale_up_5,success,2026-04-11T19:00:35-04:00,2026-04-11T19:01:11-04:00,36,5,dep-20260411230035-93a199a0,,0,5,scaled up to 5
